Session,Year,Programming Exp,Laptop,Blood Group,DataCamp Granted Date,2023 Contest Perticipated,SIM
2021-2022,1st year,No,Yes - Laptop,O+,08/03/2023,,GP
2020-2021,2nd year,No,Yes - Laptop,O+,08/03/2023,,Airtel
2019-2020,3rd year,No,No,B+,No,,GP
2020-2021,2nd year,Yes,Yes - Laptop,O+,,,Airtel
2020-2021,2nd year,No,Yes - Laptop,O+,,,GP
2020-2021,2nd year,No,No - But planning to buy,A+,,,Blink
2020-2021,2nd year,No,No - But planning to buy,A+,03/04/2023,,Robi
2020-2021,2nd year,No,No - But planning to buy,A+,No,,GP
2020-2021,2nd year,No,Yes - Desktop,AB+,No,,GP
2020-2021,2nd year,No,Yes - Laptop,,No,,Blink
2020-2021,2nd year,No,Yes - Laptop,O+,No,,Airtel
2021-2022,1st year,No,No - But I can manage,,No,,GP
2020-2021,2nd year,No,No - But planning to buy,B+,08/03/2023,,Blink
2020-2021,2nd year,No,Yes - Laptop,,No,,Airtel
2021-2022,1st year,No,No - But planning to buy,,No,,GP
2020-2021,2nd year,No,No - But planning to buy,A+,,,Airtel
2021-2022,1st year,No,No,A+,No,,GP
2021-2022,1st year,No,No,B+,No,,Teletalk
2020-2021,2nd year,No,No - But planning to buy,A+,,,Blink
2021-2022,1st year,Yes,Yes - Laptop,B+,08/03/2023,,Robi
2019-2020,2nd year,Yes,Yes - Laptop,B+,08/03/2023,,Airtel
2020-2021,2nd year,No,Yes - Laptop,B+,No,,Airtel
2021-2022,1st year,No,Yes - Laptop,O+,08/03/2023,,GP
2020-2021,2nd year,No,Yes - Laptop,O+,08/03/2023,,#N/A
2020-2021,2nd year,No,Yes - Laptop,,No,,Airtel
2020-2021,2nd year,No,No,O+,No,,Airtel
2020-2021,2nd year,No,Yes - Laptop,B+,No,,Robi
2020-2021,3rd year,No,Yes - Laptop,A+,08/03/2023,,Robi
2020-2021,2nd year,No,Yes - Laptop,B+,No,,Airtel
2018-2019,4th year,Yes,Yes - Laptop,O+,,,GP
2018-2019,4th year,Yes,Yes - Laptop,O+,No,,Teletalk
2020-2021,2nd year,No,Yes - Desktop,A+,No,,GP
2020-2021,2nd year,Yes,Yes - Laptop,,No,,GP
2021-2022,1st year,No,No - But planning to buy,A+,08/03/2023,,GP
2020-2021,2nd year,No,Yes - Laptop,O+,No,Yes,Robi
2020-2021,2nd year,No,No - But planning to buy,B+,,,GP
2020-2021,2nd year,No,Yes - Laptop,AB+,08/03/2023,,Robi
2018-2019,4th year,No,Yes - Laptop,O+,08/03/2023,,Teletalk
2018-2019,4th year,Yes,Yes - Laptop,O+,08/03/2023,,Airtel
2020-2021,2nd year,No,Yes - Desktop,A+,No,,Airtel
2020-2021,2nd year,No,Yes - Laptop,,No,,Robi
2020-2021,2nd year,No,Yes - Laptop,AB+,No,,GP
2021-2022,1st year,No,No - But planning to buy,O+,08/03/2023,,Blink
2020-2021,2nd year,No,Yes - Laptop,,No,,GP
2020-2021,2nd year,Yes,Yes - Laptop,A+,08/03/2023,,Teletalk
2017-2018,4th year,Yes,Yes - Laptop,O+,No,,GP
2020-2021,2nd year,No,No - But I can manage,B+,,,GP
2020-2021,2nd year,No,No,A+,No,,Airtel
2020-2021,2nd year,No,No - But I can manage,A+,No,,Robi
2021-2022,1st year,No,No - But planning to buy,A+,No,,Blink
2020-2021,2nd year,No,Yes - Laptop,,No,,Blink
2021-2022,1st year,No,Yes - Laptop,A+,No,,Robi
2020-2021,2nd year,No,Yes - Laptop,,No,,Blink
2021-2022,1st year,Yes,No - But planning to buy,B+,03/04/2023,Yes,Robi
2018-2019,4th year,No,Yes - Laptop,A+,No,,GP
2021-2022,1st year,No,No,O+,No,,Robi
2021-2022,1st year,Yes,No,O+,08/03/2023,Yes,GP
2020-2021,2nd year,No,Yes - Laptop,,,,Blink
2020-2021,2nd year,No,No - But planning to buy,,No,,GP
2020-2021,2nd year,Yes,Yes - Laptop,O-,08/03/2023,,Teletalk
2021-2022,1st year,No,Yes - Laptop,B+,No,,Blink
2019-2020,3rd year,Yes,Yes - Laptop,B+,08/03/2023,,Robi
2020-2021,2nd year,Yes,Yes - Laptop,,No,,GP
2020-2021,2nd year,No,No - But planning to buy,,No,,Robi
2020-2021,2nd year,No,Yes - Laptop,B+,No,,Blink
